,especie,sexo,FL,RW,CL,CW,BD
99,laranja,M,56,12.9,36.9,40.9,53
100,laranja,M,57,13.4,36.7,41.3,58
101,laranja,M,59,13.4,37.9,42.2,62
102,laranja,M,61,13.4,37.8,41.9,60
103,laranja,M,61,13.5,36.9,40.2,57
104,laranja,M,62,13.4,37.2,41.1,61
105,laranja,M,66,14.1,39.1,43.2,63
106,laranja,M,66,14.4,39.8,44.3,64
107,laranja,M,73,14.4,42.8,46.5,72
108,laranja,M,75,15,42.9,47.2,70
109,laranja,M,78,15.5,45.5,49.7,76
110,laranja,M,79,15.4,45.7,49.7,75
111,laranja,M,83,16.8,47.2,52.1,78
112,laranja,M,84,15.7,47.6,52.8,79
113,laranja,F,4,9.7,21.4,24,93
114,laranja,F,8,9.2,21.7,24.1,92
115,laranja,F,16,10,24.1,27,6
116,laranja,F,17,11.5,25,28.1,11
117,laranja,F,26,11.9,27,31.4,18
118,laranja,F,26,12.8,28.8,32.4,19
119,laranja,F,29,12.2,28.1,31.8,17
120,laranja,F,31,13.2,29.6,33.4,21
121,laranja,F,32,13,30,33.7,25
122,laranja,F,33,12.3,30.1,33.3,32
123,laranja,F,39,13.5,31.2,35.1,33
124,laranja,F,39,14,31.6,35.3,30
125,laranja,F,39,14.1,31,34.5,30
126,laranja,F,40,13.6,31,34.8,30
127,laranja,F,43,13.7,31.4,36.1,31
128,laranja,F,44,14,31.6,35.6,29
129,laranja,F,48,14.3,32.3,37,38
130,laranja,F,51,14.5,33.1,37.2,37
131,laranja,F,53,14.4,34.5,39,49
132,laranja,F,53,14.7,33.3,37.6,37
133,laranja,F,54,14,34,38.6,45
134,laranja,F,57,14.9,34.7,39.5,47
135,laranja,F,57,16.3,37.9,43,59
136,laranja,F,58,15.7,35.1,40.5,50
137,laranja,F,59,15.5,35.6,40,48
138,laranja,F,59,15.7,36.5,41.6,52
139,laranja,F,60,14.6,37,42,54
140,laranja,F,61,14.5,34.7,39.4,40
141,laranja,F,62,15.2,35.8,40.5,54
142,laranja,F,63,16,37.8,42.3,56
143,laranja,F,63,16.3,37.9,42.6,59
144,laranja,F,67,16.7,39.9,43.6,66
145,laranja,F,69,16.6,39.4,43.9,64
146,laranja,F,70,16.7,40.4,45.1,62
147,laranja,F,71,17.2,39.8,44.1,67
148,laranja,F,93,16,39.4,44.1,94
149,laranja,F,72,17.5,40,45.5,69
150,laranja,F,74,16.5,39.9,44.7,61
151,laranja,F,76,18.4,43.8,48.4,74
152,laranja,F,77,18,41.2,46.2,68
153,laranja,F,80,17.1,41.7,47.2,72
154,laranja,F,81,17.2,42.6,47.4,71
155,laranja,F,82,17.2,43,48.7,73
156,laranja,F,84,20.2,46.2,52.5,77
